 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1391,0.398,2.600,1.424,0.356,0.000,1.301,1346,15,165.964,0.315
1392,1.493,5.277,1.684,1.129,68.085,2.116,25,23,63.435,1.552
1393,0.299,2.154,1.068,0.356,90.000,0.998,1291,17,108.435,0.315
1394,0.299,1.969,1.068,0.356,0.000,0.998,375,19,161.565,0.315
1395,0.498,2.862,1.177,0.538,5.152,1.301,1362,21,165.964,0.631
1396,0.498,3.231,1.780,0.356,0.000,1.609,565,25,168.690,0.315
1397,0.299,2.154,1.068,0.356,90.000,0.998,657,29,108.435,0.315
1398,0.299,2.154,1.068,0.356,90.000,0.998,33,67,108.435,0.315
1399,1.294,5.201,1.520,1.084,126.826,2.020,693,75,128.660,1.262
1400,3.483,12.339,2.972,1.493,119.727,3.851,78,78,124.992,2.208
1401,1.194,5.462,2.110,0.721,149.756,2.464,71,79,140.194,0.988
1402,0.299,2.154,1.068,0.356,90.000,0.998,687,89,108.435,0.315
1403,2.289,6.985,2.085,1.398,3.577,2.543,429,181,150.255,1.893
1404,0.398,2.600,1.424,0.356,0.000,1.301,570,185,165.964,0.315
1405,0.398,2.416,1.007,0.503,108.435,1.137,563,239,123.690,0.631
1406,0.597,3.493,1.037,0.733,59.679,1.338,47,254,45.000,0.946
1407,0.398,2.416,1.007,0.503,108.435,1.137,926,251,123.690,0.631
1408,0.498,3.416,1.780,0.356,90.000,1.609,1133,265,101.310,0.315
1409,2.488,8.355,3.402,0.931,95.275,3.838,1138,276,99.462,0.946
1410,0.498,2.862,0.880,0.720,90.000,1.137,453,343,123.690,0.946
1411,2.588,6.800,2.557,1.288,121.887,2.976,601,462,122.005,1.596
1412,1.294,3.939,1.375,1.198,103.776,1.577,353,478,126.870,1.262
1413,0.398,2.416,1.007,0.503,108.435,1.137,614,479,123.690,0.631
1414,3.185,7.431,3.120,1.300,124.135,3.353,627,505,131.186,1.552
1415,0.498,3.046,1.046,0.606,135.000,1.338,635,515,135.000,0.892
