 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
2872,0.498,2.862,0.880,0.720,0.000,1.137,1043,271,146.310,0.946
2873,0.299,2.154,1.068,0.356,90.000,0.998,445,271,108.435,0.315
2874,0.498,3.231,1.780,0.356,0.000,1.609,455,273,168.690,0.315
2875,7.663,11.447,3.536,2.760,49.670,4.113,131,286,57.529,3.080
2876,0.398,2.600,1.424,0.356,0.000,1.301,988,275,165.964,0.315
2877,0.597,3.862,2.136,0.356,0.000,1.919,140,277,170.538,0.315
2878,0.697,3.308,1.060,0.837,162.231,1.338,119,279,135.000,0.946
2879,0.299,1.969,1.068,0.356,0.000,0.998,124,279,161.565,0.315
2880,0.398,2.416,1.007,0.503,71.565,1.137,665,290,56.310,0.631
2881,0.398,2.416,1.007,0.503,18.435,1.137,131,290,33.690,0.631
2882,8.857,20.879,5.257,2.145,137.935,7.089,121,291,147.724,3.182
2883,0.299,1.969,1.068,0.356,0.000,0.998,1107,293,161.565,0.315
2884,0.299,2.154,1.068,0.356,90.000,0.998,447,297,108.435,0.315
2885,0.498,2.862,1.023,0.619,90.000,1.137,452,303,123.690,0.631
2886,0.398,2.231,0.862,0.588,0.000,0.998,474,315,161.565,0.631
2887,0.299,1.969,1.068,0.356,0.000,0.998,473,319,161.565,0.315
2888,5.076,12.078,4.561,1.417,128.919,5.250,829,323,122.735,2.008
2889,0.299,2.154,1.068,0.356,90.000,0.998,385,325,108.435,0.315
2890,0.498,2.862,1.046,0.606,45.000,1.338,489,340,45.000,0.892
2891,8.857,16.571,4.189,2.692,127.130,5.372,79,347,130.236,3.629
2892,0.597,3.493,1.184,0.642,90.000,1.411,1366,347,116.565,0.946
2893,0.498,3.046,1.177,0.538,84.848,1.301,1341,383,104.036,0.631
2894,0.398,2.600,1.424,0.356,0.000,1.301,959,389,165.964,0.315
2895,14.630,19.356,6.229,2.990,5.159,7.208,340,442,23.199,3.439
2896,0.398,2.600,1.424,0.356,0.000,1.301,423,445,165.964,0.315
2897,0.597,3.939,1.253,0.607,47.720,1.577,429,450,53.130,0.892
2898,1.095,4.461,1.419,0.982,17.165,1.699,423,453,21.801,1.262
2899,0.896,3.939,1.208,0.944,76.051,1.577,371,459,53.130,1.262
2900,0.697,3.939,1.265,0.701,22.500,1.577,1372,470,36.870,0.946
2901,0.896,3.754,1.243,0.918,87.280,1.411,480,505,116.565,0.946
2902,4.279,10.554,2.647,2.059,68.590,3.294,335,615,73.301,2.454
2903,0.299,1.785,0.746,0.510,135.000,0.892,163,620,135.000,0.631
2904,0.299,1.785,0.746,0.510,45.000,0.892,251,623,45.000,0.631
2905,0.299,2.154,1.068,0.356,90.000,0.998,417,623,108.435,0.315
2906,0.299,1.969,1.068,0.356,0.000,0.998,1329,639,161.565,0.315
2907,2.986,8.139,2.146,1.772,6.955,2.543,44,667,172.875,2.208
2908,0.597,3.493,1.005,0.757,156.255,1.338,187,671,135.000,0.946
2909,0.299,1.969,1.068,0.356,0.000,0.998,38,683,161.565,0.315
2910,0.697,4.678,2.492,0.356,90.000,2.231,507,709,98.130,0.315
2911,0.398,2.416,1.007,0.503,18.435,1.137,509,716,33.690,0.631
2912,0.697,3.754,0.988,0.898,135.000,1.338,81,729,135.000,1.115
2913,0.896,5.385,1.242,0.919,90.000,1.839,89,749,120.964,1.552
2914,0.398,2.600,1.424,0.356,0.000,1.301,1213,775,165.964,0.315
2915,0.299,1.969,1.068,0.356,0.000,0.998,41,781,161.565,0.315
2916,0.398,2.416,1.007,0.503,108.435,1.137,1259,805,123.690,0.631
2917,0.299,1.785,0.746,0.510,135.000,0.892,945,806,135.000,0.631
2918,0.299,2.154,1.068,0.356,90.000,0.998,1281,829,108.435,0.315
2919,2.389,6.169,2.366,1.285,136.596,2.714,1210,859,144.462,1.561
2920,0.299,1.969,1.068,0.356,0.000,0.998,947,865,161.565,0.315
2921,0.697,4.124,1.180,0.752,0.000,1.609,1271,869,168.690,0.946
2922,8.559,12.893,4.201,2.594,124.550,4.815,1120,873,121.608,3.155
2923,0.697,4.124,1.180,0.752,0.000,1.609,1289,899,168.690,0.946
2924,0.796,3.493,1.338,0.757,156.801,1.577,1233,901,143.130,0.946
2925,0.299,2.154,1.068,0.356,90.000,0.998,497,913,108.435,0.315
2926,0.398,2.416,1.007,0.503,161.565,1.137,1335,932,146.310,0.631
2927,1.990,5.723,1.994,1.271,108.460,2.275,760,933,123.690,1.577
2928,1.990,6.539,2.082,1.217,149.285,2.695,588,937,159.444,1.577
2929,0.299,2.154,1.068,0.356,90.000,0.998,745,979,108.435,0.315
2930,4.777,8.693,2.886,2.107,157.037,3.412,581,985,146.310,2.208
2931,0.299,2.154,1.068,0.356,90.000,0.998,1279,1025,108.435,0.315
2932,0.498,3.416,1.780,0.356,90.000,1.609,505,1031,101.310,0.315
2933,0.299,1.785,0.746,0.510,45.000,0.892,737,1037,45.000,0.631
2934,2.189,10.663,2.062,1.352,150.630,3.123,387,9,135.000,2.187
2935,0.299,1.785,0.746,0.510,45.000,0.892,542,12,45.000,0.631
2936,0.498,2.862,1.177,0.538,5.152,1.301,589,11,165.964,0.631
2937,0.498,3.416,1.780,0.356,90.000,1.609,555,11,101.310,0.315
2938,2.189,6.354,1.987,1.403,83.258,2.543,835,11,97.125,1.577
2939,0.299,1.969,1.068,0.356,0.000,0.998,845,15,161.565,0.315
2940,0.697,3.754,0.988,0.898,135.000,1.338,1321,15,135.000,1.115
2941,0.299,2.154,1.068,0.356,90.000,0.998,381,17,108.435,0.315
2942,0.299,2.154,1.068,0.356,90.000,0.998,849,17,108.435,0.315
2943,0.398,2.785,1.424,0.356,90.000,1.301,1355,18,104.036,0.315
2944,0.299,2.154,1.068,0.356,90.000,0.998,531,19,108.435,0.315
2945,0.398,2.231,1.007,0.503,18.435,1.137,837,23,33.690,0.631
2946,0.299,2.154,1.068,0.356,90.000,0.998,593,25,108.435,0.315
2947,0.299,1.969,1.068,0.356,0.000,0.998,759,25,161.565,0.315
2948,0.299,2.154,1.068,0.356,90.000,0.998,871,25,108.435,0.315
2949,0.498,3.416,1.780,0.356,90.000,1.609,497,29,101.310,0.315
2950,1.194,4.385,1.413,1.077,82.372,1.699,468,35,111.801,1.262
2951,0.299,1.969,1.068,0.356,0.000,0.998,1119,35,161.565,0.315
2952,0.697,3.754,1.340,0.662,0.000,1.609,1057,37,168.690,0.946
2953,0.299,1.969,1.068,0.356,0.000,0.998,501,39,161.565,0.315
2954,0.597,3.939,1.567,0.485,146.647,1.839,55,41,149.036,0.787
2955,0.299,1.969,1.068,0.356,0.000,0.998,1063,43,161.565,0.315
2956,0.299,2.154,1.068,0.356,90.000,0.998,35,47,108.435,0.315
2957,2.488,9.401,2.874,1.102,118.888,3.597,749,53,105.255,1.696
2958,0.498,3.046,1.046,0.606,135.000,1.338,1103,53,135.000,0.892
2959,0.597,3.493,1.511,0.503,175.269,1.609,576,59,168.690,0.631
2960,0.398,2.416,1.007,0.503,18.435,1.137,1029,82,33.690,0.631
2961,0.299,2.154,1.068,0.356,90.000,0.998,1025,83,108.435,0.315
2962,1.791,5.016,1.831,1.246,178.852,2.116,1325,97,153.435,1.262
2963,0.498,3.231,1.780,0.356,0.000,1.609,1203,103,168.690,0.315
2964,0.299,1.969,1.068,0.356,0.000,0.998,1305,121,161.565,0.315
2965,3.782,10.108,3.084,1.561,135.742,3.597,596,127,142.125,2.187
2966,0.398,2.416,1.007,0.503,71.565,1.137,34,130,56.310,0.631
2967,2.389,7.247,3.009,1.011,147.444,3.155,1106,145,143.130,1.388
2968,0.299,2.154,1.068,0.356,90.000,0.998,1119,153,108.435,0.315
2969,1.791,5.723,2.092,1.090,70.271,2.231,1035,162,45.000,1.289
2970,0.597,4.047,2.136,0.356,90.000,1.919,789,162,99.462,0.315
2971,0.498,2.862,1.177,0.538,174.848,1.301,1286,163,165.964,0.631
2972,0.896,3.754,1.250,0.912,71.063,1.577,483,171,53.130,0.946
2973,0.398,2.416,1.007,0.503,71.565,1.137,485,182,56.310,0.631
2974,0.697,4.493,2.492,0.356,0.000,2.231,1211,197,171.870,0.315
2975,0.299,1.969,1.068,0.356,0.000,0.998,845,213,161.565,0.315
2976,0.299,1.969,1.068,0.356,0.000,0.998,473,253,161.565,0.315
2977,0.498,3.046,1.177,0.538,95.152,1.301,1111,281,104.036,0.631
2978,3.284,13.524,2.505,1.669,4.068,3.597,279,307,164.745,2.438
2979,2.389,7.170,2.680,1.135,123.114,3.123,1351,307,135.000,1.575
2980,0.299,1.785,0.746,0.510,135.000,0.892,675,312,135.000,0.631
2981,60.708,80.406,16.867,4.583,54.428,21.641,523,396,53.297,7.504
2982,3.583,7.616,2.506,1.821,172.982,2.822,545,343,153.435,1.893
2983,2.389,6.169,1.757,1.731,171.015,2.275,585,346,146.310,1.893
2984,0.697,4.493,2.492,0.356,0.000,2.231,55,351,171.870,0.315
2985,1.095,3.939,1.204,1.157,71.565,1.577,589,354,126.870,1.262
