 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
496,0.299,1.969,1.068,0.356,0.000,0.998,639,453,161.565,0.315
497,12.540,21.402,5.131,3.112,137.766,6.125,195,455,124.509,4.232
498,1.095,5.201,1.421,0.981,33.787,2.020,929,503,38.660,1.451
499,6.568,15.047,3.447,2.426,78.796,4.291,974,512,53.973,2.839
500,0.299,2.154,1.068,0.356,90.000,0.998,883,502,108.435,0.315
501,1.990,5.277,1.870,1.355,118.930,2.020,23,530,128.660,1.552
502,1.592,4.385,1.582,1.282,152.010,1.839,26,541,149.036,1.262
503,1.194,4.200,1.273,1.195,26.565,1.577,32,541,143.130,1.262
504,0.299,1.969,1.068,0.356,0.000,0.998,1361,577,161.565,0.315
505,0.398,2.416,1.007,0.503,108.435,1.137,69,585,123.690,0.631
506,7.663,13.416,3.903,2.500,151.244,4.484,59,589,129.289,3.234
507,0.498,2.862,1.177,0.538,5.152,1.301,68,601,165.964,0.631
508,2.488,6.354,1.919,1.651,13.404,2.403,63,608,23.199,1.893
509,0.498,2.862,1.177,0.538,174.848,1.301,1372,603,165.964,0.631
510,0.398,2.416,1.007,0.503,71.565,1.137,30,632,56.310,0.631
511,22.392,28.572,8.040,3.546,99.736,8.906,1313,640,112.932,4.788
512,2.389,6.278,1.865,1.630,174.106,2.403,857,645,156.801,1.577
513,0.796,4.754,1.555,0.652,169.172,1.919,1296,647,170.538,0.946
514,3.284,8.846,2.615,1.599,10.526,2.993,1343,650,18.435,1.995
515,0.299,1.969,1.068,0.356,0.000,0.998,26,647,161.565,0.315
516,0.299,2.154,1.068,0.356,90.000,0.998,867,647,108.435,0.315
517,0.299,1.785,0.746,0.510,45.000,0.892,1358,654,45.000,0.631
518,0.299,1.785,0.746,0.510,135.000,0.892,1307,656,135.000,0.631
519,0.299,2.154,1.068,0.356,90.000,0.998,1339,669,108.435,0.315
520,2.886,7.062,2.598,1.415,122.537,2.908,506,685,130.601,1.693
521,0.796,4.939,2.190,0.463,86.740,2.231,689,690,98.130,0.631
522,0.299,1.969,1.068,0.356,0.000,0.998,19,733,161.565,0.315
523,0.299,1.785,0.746,0.510,135.000,0.892,235,744,135.000,0.631
524,0.299,1.969,1.068,0.356,0.000,0.998,801,817,161.565,0.315
525,0.299,2.154,1.068,0.356,90.000,0.998,1151,841,108.435,0.315
526,0.299,2.154,1.068,0.356,90.000,0.998,53,854,108.435,0.315
527,0.299,1.969,1.068,0.356,0.000,0.998,26,855,161.565,0.315
528,0.299,2.154,1.068,0.356,90.000,0.998,19,857,108.435,0.315
529,1.194,4.570,1.707,0.891,67.322,2.116,801,863,63.435,0.946
530,0.299,1.969,1.068,0.356,0.000,0.998,1077,891,161.565,0.315
531,0.398,2.785,1.424,0.356,90.000,1.301,509,897,104.036,0.315
532,0.398,2.416,1.007,0.503,18.435,1.137,1245,906,33.690,0.631
533,0.299,2.154,1.068,0.356,90.000,0.998,809,916,108.435,0.315
534,0.299,1.969,1.068,0.356,0.000,0.998,25,927,161.565,0.315
535,0.299,2.154,1.068,0.356,90.000,0.998,1051,931,108.435,0.315
536,0.299,1.969,1.068,0.356,0.000,0.998,1345,945,161.565,0.315
537,0.299,1.969,1.068,0.356,0.000,0.998,1343,949,161.565,0.315
538,0.398,2.416,0.862,0.588,90.000,0.998,1303,952,108.435,0.631
539,0.498,3.231,1.780,0.356,0.000,1.609,301,955,168.690,0.315
540,0.498,2.862,1.046,0.606,45.000,1.338,1285,960,45.000,0.892
541,1.194,5.462,1.685,0.902,172.222,2.020,1359,964,141.340,1.262
542,0.697,4.200,1.384,0.641,39.608,1.839,1279,974,30.964,1.050
543,0.498,3.416,1.780,0.356,90.000,1.609,1137,991,101.310,0.315
544,0.697,4.308,1.477,0.601,162.231,1.839,1255,995,149.036,0.946
545,3.284,8.955,2.783,1.503,2.288,3.799,519,1003,175.236,1.893
546,0.498,2.862,1.177,0.538,174.848,1.301,338,1005,165.964,0.631
547,0.299,1.969,1.068,0.356,0.000,0.998,1319,1009,161.565,0.315
548,0.796,5.016,1.917,0.529,158.972,2.403,175,1011,156.801,0.879
549,0.299,2.154,1.068,0.356,90.000,0.998,195,1030,108.435,0.315
550,0.995,4.646,1.658,0.764,176.758,1.919,1330,9,170.538,0.946
551,0.796,4.015,1.223,0.829,90.000,1.411,526,9,116.565,0.946
552,11.246,15.678,5.143,2.784,26.732,5.372,816,20,40.236,3.443
553,0.896,5.016,1.911,0.597,23.067,2.403,977,12,23.199,0.946
554,0.398,2.416,1.007,0.503,108.435,1.137,997,9,123.690,0.631
555,2.289,6.539,1.925,1.514,154.966,2.275,1343,9,146.310,1.577
556,0.498,3.046,1.320,0.480,100.901,1.411,1355,10,116.565,0.631
557,0.796,4.385,1.155,0.878,90.000,1.609,553,11,101.310,1.262
558,0.498,3.046,1.046,0.606,45.000,1.338,665,14,45.000,0.892
559,0.398,2.416,1.007,0.503,161.565,1.137,953,11,146.310,0.631
560,0.597,3.677,1.643,0.463,82.534,1.699,923,18,68.199,0.631
561,0.796,3.308,1.198,0.846,7.018,1.411,716,17,26.565,0.946
562,0.299,1.969,1.068,0.356,0.000,0.998,563,15,161.565,0.315
563,0.299,2.154,1.068,0.356,90.000,0.998,1291,15,108.435,0.315
564,0.697,3.754,1.227,0.723,7.973,1.411,1335,16,153.435,0.946
565,0.896,4.200,1.402,0.813,150.482,1.839,713,17,149.036,1.197
566,0.398,2.231,0.862,0.588,0.000,0.998,18,19,161.565,0.631
567,1.393,4.754,1.658,1.070,169.518,2.020,75,20,141.340,1.262
568,0.498,2.677,0.796,0.796,0.000,0.998,931,22,108.435,0.892
569,0.299,1.969,1.068,0.356,0.000,0.998,707,27,161.565,0.315
570,0.299,2.154,1.068,0.356,90.000,0.998,587,30,108.435,0.315
571,0.398,2.785,1.424,0.356,90.000,1.301,469,33,104.036,0.315
572,0.299,1.785,0.746,0.510,135.000,0.892,476,33,135.000,0.631
573,0.299,1.969,1.068,0.356,0.000,0.998,491,33,161.565,0.315
574,0.299,2.154,1.068,0.356,90.000,0.998,941,34,108.435,0.315
575,0.398,2.785,1.424,0.356,90.000,1.301,71,35,104.036,0.315
576,0.697,3.308,1.060,0.837,17.769,1.338,1353,38,45.000,0.946
577,0.896,4.831,1.897,0.601,147.295,2.275,950,39,146.310,0.962
578,0.299,1.969,1.068,0.356,0.000,0.998,701,43,161.565,0.315
579,0.498,2.862,1.046,0.606,45.000,1.338,323,48,45.000,0.892
580,0.398,2.231,0.862,0.588,0.000,0.998,1342,53,161.565,0.631
581,0.299,2.154,1.068,0.356,90.000,0.998,37,55,108.435,0.315
582,0.299,2.154,1.068,0.356,90.000,0.998,33,58,108.435,0.315
583,0.299,1.785,0.746,0.510,45.000,0.892,38,72,45.000,0.631
584,0.299,2.154,1.068,0.356,90.000,0.998,215,119,108.435,0.315
585,0.498,3.046,1.046,0.606,45.000,1.338,403,154,45.000,0.892
586,1.095,4.124,1.521,0.917,69.006,1.839,399,160,59.036,0.946
587,0.299,1.969,1.068,0.356,0.000,0.998,451,157,161.565,0.315
