 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
119,0.299,1.969,1.068,0.356,0.000,0.998,39,891,161.565,0.315
120,0.299,2.154,1.068,0.356,90.000,0.998,1319,9,108.435,0.315
121,0.796,3.939,1.329,0.762,75.964,1.609,1383,14,101.310,0.946
122,0.398,2.416,1.007,0.503,71.565,1.137,1335,54,56.310,0.631
123,0.299,1.969,1.068,0.356,0.000,0.998,871,963,161.565,0.315
124,0.299,2.154,1.068,0.356,90.000,0.998,1193,10,108.435,0.315
125,0.299,2.154,1.068,0.356,90.000,0.998,1165,11,108.435,0.315
126,0.299,2.154,1.068,0.356,90.000,0.998,1299,11,108.435,0.315
127,0.597,3.677,1.233,0.617,26.565,1.577,286,18,36.870,0.946
128,0.498,3.046,1.177,0.538,84.848,1.301,781,15,104.036,0.631
129,0.398,2.600,1.424,0.356,0.000,1.301,1241,17,165.964,0.315
130,0.299,2.154,1.068,0.356,90.000,0.998,1307,17,108.435,0.315
131,0.398,2.785,1.424,0.356,90.000,1.301,483,18,104.036,0.315
132,0.299,2.154,1.068,0.356,90.000,0.998,1251,23,108.435,0.315
133,0.398,2.785,1.424,0.356,90.000,1.301,453,27,104.036,0.315
134,0.995,4.831,1.415,0.895,50.379,1.839,1373,38,59.036,1.115
135,0.498,3.308,1.285,0.493,31.717,1.577,999,38,36.870,0.787
136,0.299,1.785,0.746,0.510,45.000,0.892,388,976,45.000,0.631
137,0.299,2.154,1.068,0.356,90.000,0.998,797,9,108.435,0.315
138,0.498,3.231,1.780,0.356,0.000,1.609,801,9,168.690,0.315
139,0.299,1.969,1.068,0.356,0.000,0.998,307,15,161.565,0.315
140,0.299,2.154,1.068,0.356,90.000,0.998,351,15,108.435,0.315
141,0.299,2.154,1.068,0.356,90.000,0.998,589,15,108.435,0.315
142,0.299,2.154,1.068,0.356,90.000,0.998,987,13,108.435,0.315
143,1.294,5.016,1.471,1.119,58.476,2.020,700,20,51.340,1.552
144,0.299,1.785,0.746,0.510,135.000,0.892,968,19,135.000,0.631
145,0.299,1.969,1.068,0.356,0.000,0.998,77,25,161.565,0.315
146,0.398,2.416,1.007,0.503,71.565,1.137,513,34,56.310,0.631
147,8.957,13.524,4.111,2.774,147.771,5.509,23,223,156.371,3.324
148,0.299,1.785,0.746,0.510,135.000,0.892,547,8,135.000,0.631
149,0.597,3.493,1.461,0.521,0.000,1.609,703,15,168.690,0.631
150,0.299,1.969,1.068,0.356,0.000,0.998,859,15,161.565,0.315
151,0.299,2.154,1.068,0.356,90.000,0.998,199,19,108.435,0.315
152,0.299,2.154,1.068,0.356,90.000,0.998,637,19,108.435,0.315
153,0.299,2.154,1.068,0.356,90.000,0.998,801,67,108.435,0.315
154,0.299,2.154,1.068,0.356,90.000,0.998,939,9,108.435,0.315
155,0.398,2.416,1.007,0.503,71.565,1.137,371,26,56.310,0.631
156,0.299,2.154,1.068,0.356,90.000,0.998,501,23,108.435,0.315
157,0.299,1.785,0.746,0.510,45.000,0.892,481,35,45.000,0.631
158,0.398,2.600,1.424,0.356,0.000,1.301,912,43,165.964,0.315
159,0.299,1.969,1.068,0.356,0.000,0.998,58,51,161.565,0.315
160,0.299,2.154,1.068,0.356,90.000,0.998,553,51,108.435,0.315
161,0.299,1.969,1.068,0.356,0.000,0.998,791,835,161.565,0.315
162,0.796,5.201,1.403,0.722,118.465,1.839,873,7,120.964,0.946
163,0.299,2.154,1.068,0.356,90.000,0.998,999,7,108.435,0.315
164,0.299,1.969,1.068,0.356,0.000,0.998,507,23,161.565,0.315
